空腹,类风湿性关节炎,终身,急腹症
疼痛,小儿神经科,神经内科,皮肤科
属于,过度,怀孕,配偶
治疗,咽部,钙,年纪
便秘,加剧,蛋白质,状态
大便,阴性,隐患,后代
排便,避孕,流泪,白喉
大便,异常,措施,胆石病
便秘,液体,家族史,纱布
饮食,晚期,感染,舒适
蔬菜,探头,肾,肺活量
纤维,心音,生物转化,不饱和脂肪酸
促进,忽略,胃口,多发性
调整,消极,救护车,护理
便秘,膝盖,烦躁不安,配偶
排便,救护车,耳蜗,升高
大便,补救,发抖,单克隆抗体
检查,麦氏点,轮状病毒,食欲不振
治疗,就诊,伴有,免疫
症状,内部,疾病,内囊
饮食,项,纠正,激素
大便,内毒素,肺活量,纱布
良好,造成,安慰,沟通
饮食,显示,肝,身高/长
规律,电击,梅毒,指导
食物,控制,分析,忍受
纤维,痔,肺大疱,输精卵
辛辣,失常,探望,粉末
测量,部位,丧失,可见
腹部,输尿管,阴道,睾丸
形成,白癜风,干燥,疟疾
基本,细菌,示范,恢复
排气,上皮组织,细胞株,卵子
消化,心脏病学或心脏科,创伤骨科,小儿皮肤科
功能,青光眼科,手足外科,口腔修复科
紊乱,心音,内分泌系统,碳水化合物
胸闷,菌血症,胸廓,静脉曲张
呼吸,肛肠科,肺病科,甲状腺外科
顺畅,脚趾,纱布,产生
心脏,美肤,医疗美容科,心脑血管内科
检查,心绞痛,牙槽骨,三叉神经
体重,产程,皱纹,典型
食管,脊髓,食管,咽喉
腹痛,迟钝,麻疹,回肠
胸口,干预,抗体,物品
补液,区域,补充,软
症状,手指,扭伤,实习
腹痛,白癜风,发炎,节奏
止血,功能失调性子宫出血（功血）,胆道蛔虫,颞叶
发热,急症手术,病理,睾丸
腹泻,诊断,趴,缩短
辛辣,消化,询问,消除
油腻,代替,薄,白化病
食物,犹豫,核磁共振（MRI）,采取
反酸,监护,劳累,属于
饮食,内脏,病案室,器官
规律,参与,比例,青光眼
作息,系统,忽略,摔倒
熬夜,消瘦,单核细胞,处置
药物,中医风湿免疫内科,眼科或肿瘤科,风湿免疫内科
检查,感觉器官,宫颈糜烂,植皮术
接触,酶,分布,会阴
症状,白细胞,空腹,听力
发热,晒,拖延,对症治疗
咳痰,姑息性手术,睾酮,实质性病变（肿物）
腹泻,配合,分裂,臂
食物,神经,分裂,手掌
软,脑电图,肺大疱,心悸
消化,中医科,精神心理病,遗传病科
食物,遗传,憋,明显
持续,标本,受体,下肢
打嗝,根治,终身,伴随
呕吐,维生素,血库,流感嗜血杆菌
好转,全身,避免,结肠
片,烫,自主,浅
腹泻,鹅口疮,过期妊娠,放大
腹泻,补液,真菌,新生儿
打嗝,趴,堆积,保守
症状,输液室,拍,麻醉
规律,阴茎,化验,冲服
饮食,病例,试验,鉴定
辛辣,抗生素,悲观,发病机制
刺激,阴性,放大,皮疹
饮食,门诊,拆,初乳
胃镜,影像学检查,中脑,瞳孔
食物,个体,瘫痪,采集
打嗝,数值,颗,发炎
反酸,顾虑,尿酸,血型
消瘦,闻,浸润,空洞
气味,后代,白癜风,含量
膈,头,脊柱,眼
改善,软化,病理,鼓室
腹痛,着凉,皱纹,巩膜
反酸,呼吸,损伤,平衡
恶心,迟钝,血压,浓度
呕吐,肛管,涂抹,前庭
大便,白癜风,饥饿,探头
便秘,观察,检查,频繁
饮食,,诊室,急剧
大便,小便,位于,体型
清淡,关节,白沫,恒牙
疼痛,眼科(找到眼科的专家就诊),手足外科,艾滋病科
恶心,舒适,细菌,尿毒症
呕吐,再生障碍性贫血,睾酮,中暑
腹泻,处理,复发,熟练
反酸,哮喘,年纪,随时
嗳气,间质性肺炎,掌握,预期
检查,低氧血症,风湿病,褥疮
药物,内科-内分泌科,肺病科,口腔综合科
感染,其他,风湿病科,结核病科
检查,老视,鼻旁窦,肺性脑病
疣,观察,紧急,指导
胆汁,介入,慢性阻塞性肺疾病（慢阻肺）,乐观
复发,胸口,发绀,白喉
恶心,滴,胆汁,现象
腹泻,胆固醇,改善,苯丙酮尿症
发热,训练,抗原,盲肠
腹痛,全面,残留,青紫
食物,黏膜,核磁共振（MRI）,肺活量
大便,疏忽,真菌,清醒
饮食,鼓膜,消化道,冻伤
规律,臭,腕骨,根治
食物,恶心,胎儿,大肠杆菌
避免,谨慎,肝硬化,僵硬
辛辣,确诊,类风湿性关节炎,软
适当,复查,下降,疟疾
药物,消化外科,骨外,肿瘤综合科
空腹,抢救,晒,病理
腰,膝部,膝部,精神
浑身,规律,回声,黏膜
尿频,摄氏度,瘫痪,弱
尿急,咽部,尿路感染,卧床
症状,白癜风,肝性脑病,舒适
腹痛,胸口,打嗝,日期
导致,综合征,附件,脚趾
缓解,急症手术,疙瘩,认知
胃镜,干眼,电复律,心包
食管,四肢,输尿管,乳房
症状,纱布,标本,数据
位置,劳累,酒精,雌酮
胆汁,虹膜,胶原,变应原
食物,蔬菜,肩膀,内脏
吞咽,鼻涕,平常,破坏
腹泻,钙,肝,手掌
恶心,摸,皮炎,瘫痪
呕吐,缺铁性贫血,巨结肠,流质
腹痛,定期,胆囊,巨大
大便,疣,改善,蔬菜
胃口,造成,遍布,排斥
饮食,巩膜,侧面,自主
缓解,百日咳,成人,吞咽
观察,平片,白内障,免疫
检查,牙体,醛固酮,肝掌
腹部,生殖,足,下肢
胆囊,籍贯,试验,模糊
饮食,残留,节奏,脊髓
特殊,处置,衰老,直肠
腹痛,断端,十二指肠,白癜风
症状,血脂,参考,急性会厌炎
检查,早产,嘶哑,血胸
明显,处理,浮肿,鼓膜
十二指肠,意外,胫骨,保健
位置,便秘,口腔,排便
反酸,合理,食物,空腹
药物,肝胆外科,免疫科,普通外科
反酸,油腻,消耗,发抖
表现,反酸,耳蜗,频繁
胃镜,失语,尸体,生物转化
检查,桡骨,中毒,生育
片,多发性,繁殖,调整
年纪,皮疹,忍受,内毒素
饮食,参与,失常,体重
