空腹,脉率,体位,腰穿,医学题
疼痛,精神外科,妇幼保健科,特色医疗科,医学题
属于,骶骨,皮疹,复诊,其它
排便,急诊,缝合术,结肠,其它
大便,尿量,触诊,培养,医学题
便秘,比例,包括,卒中,其它
蔬菜,内毒素,光滑,导泻,其它
大便,尿铜,甲功,血钙,医学题
症状,血糖,牙片,水银,医学题
饮食,急诊,股骨头坏死,沟通,其它
测量,原虫,视野,强弱,医学题
腹部,血液,口腔,乳房,医学题
形成,浊度,药敏,尿镉,医学题
功能,显微外科,心血管内科),组织免疫科,医学题
饮食,衰弱,周期,报告,其它
观察,尿砷,尿酸,脉搏,医学题
顺畅,充满,臂,拖延,其它
检查,伪影,智商,体位,医学题
腹痛,行为,家属,腹腔,其它
症状,烟碱,内镜,腹穿,医学题
发热,鼓膜,终身,辐射,其它
腹泻,病理,反复,承受,其它
油腻,气色,受体,黏膜,其它
规律,昏迷,形态,浅,其它
检查,内镜,b超,肛查,医学题
接触,水银,血钙,原虫,医学题
症状,烟碱,ET,婚检,医学题
发热,艾滋病,摸,晒,其它
腹泻,知觉,集中,手续,其它
食物,药敏,刮片,尿锰,医学题
持续,喘息,鼻涕,检验,其它
辛辣,过期产儿,反射,食管,其它
劳累,彻底,罕见,前置,其它
好转,酶,真菌,区域,其它
片,LH,视诊,水银,医学题
腹泻,大便,颈部,寿命,其它
症状,尿检,B型,眼位,医学题
规律,耳聋,解剖,湿润,其它
刺激,尿镁,脉搏,B型,医学题
饮食,着凉,耵聍,母乳,其它
打嗝,导致,退休,呼吸,其它
气味,方向,尿色,血糖,医学题
膈,臀部,神经,头颈部,医学题
反酸,流泪,缺陷,昏迷,其它
大便,垂体,脉搏,腰穿,医学题
大便,胎势,强弱,尿锌,医学题
腹泻,肩胛骨,升,踝关节,其它
胆汁,穿刺,胎势,体温,医学题
恶心,合理,保险,结合,其它
腹泻,急性会厌炎,犹豫,掌握,其它
发热,尿糖,气色,认知,其它
腹痛,酒精,尿路感染,指标,其它
食物,尿素,涂片,脉率,医学题
饮食,急性会厌炎,伴随,创伤,其它
避免,手指,集中,股四头肌,其它
适当,面容,虫/蛀牙,紧急,其它
腹痛,精子,下降,登记,其它
导致,疼痛,混合性病变（肿物）,初产妇,其它
缓解,劝,嗳气,没劲,其它
胆汁,穿刺,骨穿,肠镜,医学题
食物,内镜,x线,涂片,医学题
吞咽,发砷,痰检,肝功,医学题
腹痛,骨关节炎,人工,虫/蛀牙,其它
饮食,糖尿病,面容,预期,其它
检查,尿色,Ct,毛发,医学题
腹部,男性股沟,盆腔,膈肌,医学题
胆囊,尿硒,尿氯,触诊,医学题
饮食,失眠,遗传,盲肠,其它
特殊,水银,照片,尿检,医学题
腹痛,恢复,肛门,恒牙,其它
症状,b超,尿钠,尿酸,医学题
检查,X片,b超,Ct,医学题
明显,分布,四肢,骨骼肌,其它
腹痛,单位,肠系膜,单位,其它
腹部,心理,口,心理,医学题
位置,浊度,T3,水银,医学题
症状,性腺,LH,身高,医学题
反酸,白细胞,白化病,显示,其它
表现,尿钠,乳突,X光,医学题
检查,尿I,痛觉,尿镁,医学题
片,脉律,肛诊,尿铅,医学题
饮食,分析,禁食,气色,其它
着凉,应用,怀孕,监护,其它
伴有,扭伤,颈椎,会诊,其它
病史,血锑,肛诊,B型,医学题
大便,VC,彩超,鼓膜,医学题
表面,血锑,叩诊,尿钾,医学题
怀孕,嗓子,血型,真菌,其它
小便,检验,智商,尿素,医学题
病史,LH,脉律,鼓膜,医学题
饮食,尿液,胸口,白癜风,其它
打嗝,混合性病变（肿物）,自发性,良好,其它
大便,刮片,痛觉,骨穿,医学题
反酸,转移,苍白,综合征,其它
粉末,头围,液体,拍,其它
饥饿,脊髓灰质炎,推测,预防,其它
表现,离子,刮片,核磁,医学题
恶心,清醒,十二指肠,恶心,其它
化验,牙片,视力,核磁,医学题
检查,检验,肝功,LH,医学题
缓解,不足,安慰,移动,其它
食管,生殖部位,盆腔,小腿,医学题
反酸,搭配,白化病,门诊,其它
升,龛影,肺片,T4,医学题
口臭,青紫,消除,类风湿性关节炎,其它
大便,脉律,血钙,b超,医学题
化验,钡餐,脉率,腰穿,医学题
试验,检验,牙片,血型,医学题
内脏,膝盖,定期,维持,其它
大便,肛查,心功,视野,医学题
干燥,确诊,终止,体重,其它
药物,血管病科,变态反应科,耳鼻咽喉科,医学题
胸口,十二指肠,早期,干预,其它
就诊,生殖健康,肛肠科,泌尿外科,医学题
感染,小儿血液科,小儿康复科,生殖医学科,医学题
症状,Ct,心功,T3,医学题
便秘,腹泻,膀胱,臂,其它
改善,拍,自觉,单位,其它
全身,骨骼,口腔,胸腔,医学题
恶心,嗜睡,延期,喘气,其它
类似,广泛,内部,体积,其它
症状,痰检,尿铜,眼位,医学题
肾,血液,头颈部,腹部,医学题
骨折,代替,延期,病程,其它
治疗,骨穿,血夺,造影,医学题
打嗝,青春期,遍布,便秘,其它
饮食,升,回肠,绷带,其它
大便,尿检,药敏,身高,医学题
控制,尿I,浊度,ET,医学题
怀孕,手指,因素,扁桃体炎,其它
哺乳,犹豫,清除,复查,其它
反酸,导泻,全身,头部,其它
饮食,恐惧,心脏,单位,其它
明显,插,辅助,平衡,其它
胃口,偏,气味,采集,其它
病史,诊刮,彩超,X片,医学题
饮食,物品,耳鸣,化验,其它
药物,老年病科,骨质疏松科,心脏外科,医学题
大便,肺片,彩超,造影,医学题
便秘,冻伤,青春期,后代,其它
腰,输精管,腰部,肠系膜,医学题
结石,骨穿,血脂,尿硒,医学题
肝,骨科,呼吸系统,创伤骨科,医学题
打嗝,综合征,青霉素,膀胱,其它
大便,烟碱,尿氯,便检,医学题
饮食,必要,方案,青光眼,其它
